,uoCodigo,uoNome,uoSigla,programaDetalheId,programaCod,deObjetivo,deIndicador,dataIndiceReferencia,formulaCalculo,indiceReferencia,deUnidadeMedida,representacaoUnidMedida,deFonteIndicador,baseGeografica,periodicidade,valorAno1,realizadoAno1,valorAno2,realizadoAno2,valorAno3,realizadoAno3,valorAno4,realizadoAno4,anoAvaliacao,TipoDado,Ano,Quadrimestre
42,11009,Superintendência de Gestão dos Gastos Públicos Administrativos ,SUGESP,1420,2133,"Implementar 09 núcleos de projetos regionais, que realizem os diagnósticos necessários localmente e que busquem dentro de seus recursos e políticas institucionais soluções como inovações, capacitações dos colaboradores do Estado e dos municípios, a oferta de capacitação para o terceiro setor em projetos e captação de recursos e projetos inclusivos para os 52 municípios do Estado.",Capacitações técnicas para o corpo técnico responsável e Municípios com adesão aos Núcleos de Projetos Regionais.,2024-01-01T00:00:00,"1 Capacitação Mensal
12 Meses
12 * 1 = 12 Capacitações ao Ano",,Unidade,Un,Coordenação das Secretarias Executivas Regionais,Regional,Anual,12,12,12,,12,,12,,2024,Avaliação Indicador,2024,
43,11009,Superintendência de Gestão dos Gastos Públicos Administrativos ,SUGESP,1420,2133,"Implementar 09 núcleos de projetos regionais, que realizem os diagnósticos necessários localmente e que busquem dentro de seus recursos e políticas institucionais soluções como inovações, capacitações dos colaboradores do Estado e dos municípios, a oferta de capacitação para o terceiro setor em projetos e captação de recursos e projetos inclusivos para os 52 municípios do Estado.",Fomentar o Desenvolvimento Regional Sustentável do Estado de Rondônia por meio da implantação das políticas públicas e inovações com o fortalecimento das Secretarias Executivas Regionais e a implantação de 09 Núcleos de Projetos Regionais pautadas nas diretrizes do PDES.,2024-01-01T00:00:00,,0,Unidade,Un,Coordenação das Secretarias Executivas Regionais,Regional,Anual,5,5,4,,0,,0,,2024,Avaliação Indicador,2024,
44,11009,Superintendência de Gestão dos Gastos Públicos Administrativos ,SUGESP,1420,2133,"Implementar 09 núcleos de projetos regionais, que realizem os diagnósticos necessários localmente e que busquem dentro de seus recursos e políticas institucionais soluções como inovações, capacitações dos colaboradores do Estado e dos municípios, a oferta de capacitação para o terceiro setor em projetos e captação de recursos e projetos inclusivos para os 52 municípios do Estado.","Mínimo de 5 projetos com recursos garantidos por emendas, editais de chamamentos e/ou fundos por regional.",2023-07-31T00:00:00,,,Unidade,Un,Coordenação das Secretarias Executivas Regionais,Regional,Anual,5,5,5,,5,,5,,2024,Avaliação Indicador,2024,
45,11009,Superintendência de Gestão dos Gastos Públicos Administrativos ,SUGESP,1429,2128,Promover a Comunicação Governamental por meio da comunicação corporativa e publicidade.,Campanhas publicitárias veiculadas e  ações publicitárias realizadas.,2023-07-31T00:00:00,Campanhas publicitárias veiculadas e  ações publicitárias realizadas.,,Unidade,Un,Superintendencia Estadual de Comunicação - SECOM,Estadual,Anual,69,69,69,,69,,69,,2024,Avaliação Indicador,2024,
46,11009,Superintendência de Gestão dos Gastos Públicos Administrativos ,SUGESP,1429,2128,Promover a Comunicação Governamental por meio da comunicação corporativa e publicidade.,Veiculação da publicidade legal realizada,2023-07-31T00:00:00,Percentual de publicidade legal realizada,,Porcentagem,%,SUGESPE e Órgãos Vinculados,Estadual,Anual,100,100,100,,100,,100,,2024,Avaliação Indicador,2024,
47,11009,Superintendência de Gestão dos Gastos Públicos Administrativos ,SUGESP,1435,2041,"Repasse de recursos na participação de consórcios públicos, para fomentar políticas públicas para o desenvolvimento do Estado de Rondônia.",Consórcio Mantido,2023-07-31T00:00:00,Percentual de Manutenção do Consórcio,100,Porcentagem,%,SUGESPE e Órgãos Vinculados,Estadual,Anual,100,100,100,,100,,100,,2024,Avaliação Indicador,2024,
48,11009,Superintendência de Gestão dos Gastos Públicos Administrativos ,SUGESP,1459,2112,"Promover a qualidade e celeridade dos processos de atendimento; resgatar a credibilidade do cidadão no serviço público, bem como a do agente público.",Unidades Mantidas,2023-07-31T00:00:00,Percentual de execução.,,Porcentagem,%,SUGESPE e Órgãos Vinculados,Municipal,Anual,100,100,100,,100,,100,,2024,Avaliação Indicador,2024,
49,11010,Fundo Especial de Modernização Procuradoria-Geral do Estado de Rondônia,FUMORPGE,1466,2085,"Prover a Unidade da PGE de recursos orçamentários e financeiros para atender as despesas com aquisição de bens e serviços, gestão de pessoal, Operações Especiais e outras, de natureza administrativa, classificadas como despesas correntes e de capital",Indice de satisfação com as instalações físicas,2023-07-31T00:00:00,(AP/TA)X100 AP-AVALIAÇÕES POSITIVAS TA-TOTAL DE AVALIAÇÕES,0,Porcentagem,%,Pesquisa do índice de satisfação e clima organizacional do FUMOR/PGE,Estadual,Anual,70,50,71,,72,,73,,2024,Avaliação Indicador,2024,
50,11010,Fundo Especial de Modernização Procuradoria-Geral do Estado de Rondônia,FUMORPGE,1470,2110,"Promover para as Unidades Gestoras do Poder Executivo, a modernização de",Modernização de Equipamentos Tecnológicos,2023-07-31T00:00:00,(AP/TA)X100 AP-AVALIAÇÕES POSITIVAS TA-TOTAL DE AVALIAÇÕES,0,Porcentagem,%,Pesquisa do índice de satisfação e clima organizacional da FUMOR/PGE,Estadual,Anual,70,76,72,,74,,76,,2024,Avaliação Indicador,2024,
51,11013,Fundo de Investimento e Desenv. Industrial do Estado de Rondônia,Fider,1472,2000,"Proporcionar o desenvolvimento econômico do Estado de Rondônia, através do fomento e desenvolvimento das cadeias produtivas, do Empreendedorismo, promoção do desenvolvimento e ampliação do parque industrial e tecnológico do Estado através da mitigação da cultura da inovação, ciência e tecnologia.","Ambientes/Habitats de Inovação, Número de Pré-incubadoras, Número de Startups",2023-08-10T00:00:00,"Números de Ambientes/Habitats de Inovação, Número de Pré-incubadoras e Startups",39,Unidade,Un,CTI/SEDEC,Estadual,Anual,74,25,118,,162,,206,,2024,Avaliação Indicador,2024,
52,11013,Fundo de Investimento e Desenv. Industrial do Estado de Rondônia,Fider,1472,2000,"Proporcionar o desenvolvimento econômico do Estado de Rondônia, através do fomento e desenvolvimento das cadeias produtivas, do Empreendedorismo, promoção do desenvolvimento e ampliação do parque industrial e tecnológico do Estado através da mitigação da cultura da inovação, ciência e tecnologia.",Concessões de Incentivos Tributários,2023-08-09T00:00:00,Soma das Empresas Incentivadas Anualmente.,11,Unidade,Un,FIDER - CONSIC (coordenadoria consultiva de indústria e comércio),Estadual,Anual,12,20,12,,12,,12,,2024,Avaliação Indicador,2024,
53,11013,Fundo de Investimento e Desenv. Industrial do Estado de Rondônia,Fider,1472,2000,"Proporcionar o desenvolvimento econômico do Estado de Rondônia, através do fomento e desenvolvimento das cadeias produtivas, do Empreendedorismo, promoção do desenvolvimento e ampliação do parque industrial e tecnológico do Estado através da mitigação da cultura da inovação, ciência e tecnologia.","Feiras, PROFAC e Reciclagens dos Agentes de Créditos do PROAMPE",2023-08-10T00:00:00,Nº Feiras (e eventos)+Nº PROFAC+Nº Reciclagens Agentes de Créditos,21,Unidade,Un,"CODMPE, INVEST, CONSIC",Estadual,Anual,60,28,68,,74,,78,,2024,Avaliação Indicador,2024,
54,11016,Fundo Estadual de Defesa do Consumidor,Fundec,1475,2072,"Proteger e defender os consumidores nas relações de consumo orientando e fiscalizando o cumprimento da legislação consumerista, que versa sobre os direitos dos Consumidores por porte de Fornecedores de bens e serviços, bem como desenvolver atividades educativas de conscientização dos direitos e deveres dos Atores da relação de consumo, intuindo garantir o equilíbrio do mercado de consumo de forma sustentável.",Acessos ao pacote de serviços,2023-08-09T00:00:00,Número de acessos ao pacote de serviços,5000,Unidade,Un,Gerência de Fiscalização PROCON-RO,Estadual,Anual,10000,22353,15000,,20000,,30000,,2024,Avaliação Indicador,2024,
55,11016,Fundo Estadual de Defesa do Consumidor,Fundec,1475,2072,"Proteger e defender os consumidores nas relações de consumo orientando e fiscalizando o cumprimento da legislação consumerista, que versa sobre os direitos dos Consumidores por porte de Fornecedores de bens e serviços, bem como desenvolver atividades educativas de conscientização dos direitos e deveres dos Atores da relação de consumo, intuindo garantir o equilíbrio do mercado de consumo de forma sustentável.",Atendimentos realizados nas Unidades do PROCON Rondônia,2023-08-09T00:00:00,Número de Atendimentos realizados nas Unidades do PROCON Rondônia,1000,Unidade,Un,Gerência de Fiscalização PROCON-RO,Estadual,Anual,1000,39317,4000,,7000,,10000,,2024,Avaliação Indicador,2024,
56,11016,Fundo Estadual de Defesa do Consumidor,Fundec,1475,2072,"Proteger e defender os consumidores nas relações de consumo orientando e fiscalizando o cumprimento da legislação consumerista, que versa sobre os direitos dos Consumidores por porte de Fornecedores de bens e serviços, bem como desenvolver atividades educativas de conscientização dos direitos e deveres dos Atores da relação de consumo, intuindo garantir o equilíbrio do mercado de consumo de forma sustentável.",Estabelecimento Fiscalizado,2023-08-09T00:00:00,Soma de Estabelecimento Fiscalizado,2000,Unidade,Un,Gerência de Fiscalização PROCON-RO,Estadual,Anual,2000,938,4000,,5000,,8000,,2024,Avaliação Indicador,2024,
57,11017,"Fundo Estadual do Trabalho, Emprego e Renda do Estado de Rondônia",FETERO,1477,2135,"Fomentar a empregabilidade no Estado de Rondônia através da capacitação e da intermediação com o Sistema Nacional de Emprego - SINE, entre Trabalhadores e Empregadores do Estado de Rondônia. Incluir trabalhadores no mercado de trabalho, apoiar o empreendedorismo, desenvolver ações e qualificação profissional, assegurar o desempenho, modernização e ampliação da rede do SINE para efetividade da Política Pública de Trabalho, Emprego e Renda.",Contratações Efetivadas,2023-08-09T00:00:00,Número de contratações efetivadas,1082,Unidade,Un,Sine Estadual,Estadual,Anual,9000,,13000,,17000,,20000,,2024,Avaliação Indicador,2024,
