id,acao_detalhe_id,uo_codigo,programa_codigo,acao_codigo,valor_dotacao_inicial_ppa,valor_dotacao_inicial,valor_dotacao_atual,valor_empenhado,valor_liquidado_ano,valor_pago,valor_liquidado_a_pagar,valor_restos_a_pagar,ate_quadrimestre,ate_quadrimestre_fin_rpnp,numero_quadrimestre_fin_rpnp,ano_monitoramento,quadrimestre_monitoramento,tipo_dado,ano,quadrimestre
116,4892,23030,1015,2234,30350486,30350486,30350486.0,9397379.8,9391975.9,9127167.99,0.0,0.0,30014556.54,0.0,0.0,2024,1,Ação Financeiro,2024,1
117,4809,18001,2153,2585,796610,796610,1396610.0,370375.3,30126.5,30126.5,0.0,0.0,1979776.76,0.0,0.0,2024,1,Ação Financeiro,2024,1
118,5514,11011,0,16,12593970,12593970,12593970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,1,Ação Financeiro,2024,1
119,5431,11006,2000,4148,110000,110000,110000.0,0.0,0.0,0.0,0.0,0.0,74645.53,0.0,0.0,2024,1,Ação Financeiro,2024,1
120,4714,11022,1015,2087,2295268,2295268,2295268.0,877729.4,579370.96,576369.46,0.0,0.0,2265996.11,0.0,0.0,2024,1,Ação Financeiro,2024,1
121,5419,23030,2006,4072,4527170,4527170,4527170.0,957318.1,708737.35,707789.5,0.0,0.0,3371475.95,0.0,0.0,2024,1,Ação Financeiro,2024,1
122,5336,32001,2143,2512,1000,1000,438000.0,12670.0,12670.0,12670.0,0.0,0.0,4048380.43,0.0,0.0,2024,1,Ação Financeiro,2024,1
123,5253,21001,2102,1624,6000000,6000000,6000000.0,3272482.74,1688749.08,1688749.08,0.0,0.0,7699999.98,0.0,0.0,2024,1,Ação Financeiro,2024,1
124,5241,14025,1019,4110,62462406,62462406,62462406.0,20851377.74,20740339.42,20740339.42,0.0,0.0,62462405.97,0.0,0.0,2024,1,Ação Financeiro,2024,1
125,5158,16020,2134,2547,3609743,3609743,3609743.0,801065.27,801065.27,801065.27,0.0,0.0,3133724.04,0.0,0.0,2024,1,Ação Financeiro,2024,1
126,5146,29001,1001,2004,1535778,1535778,1535778.0,303596.16,128990.98,128990.98,0.0,0.0,1124696.64,0.0,0.0,2024,1,Ação Financeiro,2024,1
127,5063,11008,1015,2234,8954327,8954327,8954327.0,2652045.47,2652045.47,2564549.41,0.0,0.0,8674495.9,0.0,0.0,2024,1,Ação Financeiro,2024,1
128,4980,23012,2168,2349,74000,74000,74000.0,10000.0,7832.0,7832.0,0.0,0.0,13750.5,0.0,0.0,2024,1,Ação Financeiro,2024,1
129,5051,14001,1015,2234,270854222,270854222,270854222.0,78239537.04,78239537.04,75835132.43,0.0,0.0,255679984.02,0.0,0.0,2024,1,Ação Financeiro,2024,1
130,4968,16001,1015,2367,1740927,1740927,2028429.52,1085741.56,804691.48,802377.22,0.0,0.0,2995774.98,0.0,0.0,2024,1,Ação Financeiro,2024,1
131,4885,11026,1015,2087,943068,943068,943068.0,327885.26,160579.58,139799.58,0.0,0.0,586901.48,0.0,0.0,2024,1,Ação Financeiro,2024,1
132,4956,17012,1015,2234,797812044,797812044,781812044.0,183679217.06,176872820.88,176871820.88,0.0,0.0,602010077.32,0.0,0.0,2024,1,Ação Financeiro,2024,1
133,4790,17034,2023,2263,3729222,3729222,3729222.0,1095312.39,796327.5,784757.5,0.0,0.0,6780656.93,0.0,0.0,2024,1,Ação Financeiro,2024,1
134,5495,16031,1015,2234,696000,696000,696000.0,222660.53,222660.53,212649.0,0.0,0.0,725950.94,0.0,0.0,2024,1,Ação Financeiro,2024,1
135,5329,3011,2073,2449,72535067,72535067,75066883.62,59092225.54,13652520.74,12076347.81,0.0,0.0,56067836.22,0.0,0.0,2024,1,Ação Financeiro,2024,1
136,4778,11009,1015,2091,8155608,8155608,8155608.0,2359426.79,2348019.79,2339426.79,0.0,0.0,7223272.83,0.0,0.0,2024,1,Ação Financeiro,2024,1
137,4695,15015,2075,1119,400000,400000,384127.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,1,Ação Financeiro,2024,1
138,5400,11008,1015,4103,21972,21972,21972.0,1412.0,1059.0,1059.0,0.0,0.0,3996.87,0.0,0.0,2024,1,Ação Financeiro,2024,1
139,4683,2001,1010,2981,49877103,49877103,49877103.0,27235676.69,5274126.89,4292736.56,0.0,0.0,29829410.79,0.0,0.0,2024,1,Ação Financeiro,2024,1
140,5234,17012,2070,1614,2229040,2229040,6029040.0,4307971.0,216340.97,188789.87,0.0,0.0,2964660.98,0.0,0.0,2024,1,Ação Financeiro,2024,1
141,5222,11023,2051,2344,200000,200000,200000.0,10000.0,9790.0,9790.0,0.0,0.0,4154393.0,0.0,0.0,2024,1,Ação Financeiro,2024,1
142,5139,29013,1001,4544,1108000,1108000,1108000.0,0.0,0.0,0.0,0.0,0.0,1408464.0,0.0,0.0,2024,1,Ação Financeiro,2024,1
143,5056,21001,1015,2096,600000,600000,600000.0,149490.0,43521.0,43521.0,0.0,0.0,285717.9,0.0,0.0,2024,1,Ação Financeiro,2024,1
144,4961,23001,2163,2663,450000,450000,450000.0,94475.0,8358.45,8358.45,0.0,0.0,235894.79,0.0,0.0,2024,1,Ação Financeiro,2024,1
145,4949,15001,2166,2475,210912,210912,214349.37,0.0,0.0,0.0,0.0,0.0,1269144.89,0.0,0.0,2024,1,Ação Financeiro,2024,1
146,5488,17012,2189,4156,4276228,4276228,4276228.0,0.0,0.0,0.0,0.0,0.0,4276228.0,0.0,0.0,2024,1,Ação Financeiro,2024,1
147,4771,19023,1015,2091,3243305,3243305,5475406.95,1677297.94,1677297.94,1677297.94,0.0,0.0,4612717.71,0.0,0.0,2024,1,Ação Financeiro,2024,1
148,5476,17012,1015,4103,950000,950000,950000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,1,Ação Financeiro,2024,1
149,4688,2001,2146,2538,9185711,9185711,9185711.0,5149196.9,832717.4,747038.22,0.0,0.0,3424061.12,0.0,0.0,2024,1,Ação Financeiro,2024,1
150,5393,11003,1015,4103,110000,110000,110000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,1,Ação Financeiro,2024,1
151,4759,13001,1015,2091,14954686,14954686,14952684.0,1378490.91,1378490.91,1378490.91,0.0,0.0,4098339.21,0.0,0.0,2024,1,Ação Financeiro,2024,1
152,5310,19001,1015,2096,350000,350000,350000.0,34500.0,0.0,0.0,0.0,0.0,69000.0,0.0,0.0,2024,1,Ação Financeiro,2024,1
153,5381,3011,2065,1633,8345000,8345000,9466016.12,1497181.11,276858.28,276858.28,0.0,0.0,3285306.87,0.0,0.0,2024,1,Ação Financeiro,2024,1
154,5215,11025,1015,2091,4291000,4291000,4291000.0,1348544.19,1348494.19,1348494.19,0.0,0.0,3997001.87,0.0,0.0,2024,1,Ação Financeiro,2024,1
155,4664,1001,1006,1379,1000000,1000000,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,1,Ação Financeiro,2024,1
