,acaoDetalheId,uoCodigo,programaCod,acaoCod,microRegiao,deMicroRegiao,noQuadrimestre,ateQuadrimestre,noQuadrimestreFisRpnp,ateQuadrimestreFisRpnp,quantidadePpa,anoMonitoramento,quadrimestreMonitoramento,TipoDado,Ano,Quadrimestre
134,4726,16020,1015,2087,1,Região I,1,1,0,0,1,2024,1,Ação Físico,2024,1
135,4727,13001,1015,2087,1,Região I,1,1,0,0,1,2024,1,Ação Físico,2024,1
136,4731,16020,1015,2234,1,Região I,40,40,0,0,57,2024,1,Ação Físico,2024,1
137,4731,16020,1015,2234,6,Região VI,2,2,0,0,2,2024,1,Ação Físico,2024,1
138,4733,16020,1015,1490,1,Região I,75,75,0,0,100,2024,1,Ação Físico,2024,1
139,4733,16020,1015,1490,6,Região VI,41,41,0,0,40,2024,1,Ação Físico,2024,1
140,4733,16020,1015,1490,10,Região X,1,1,0,0,1,2024,1,Ação Físico,2024,1
141,4738,15015,1015,2087,1,Região I,1,1,0,0,20,2024,1,Ação Físico,2024,1
142,4738,15015,1015,2087,2,Região II,0,0,0,0,2,2024,1,Ação Físico,2024,1
143,4738,15015,1015,2087,3,Região III,0,0,0,0,1,2024,1,Ação Físico,2024,1
144,4738,15015,1015,2087,5,Região V,0,0,0,0,1,2024,1,Ação Físico,2024,1
145,4738,15015,1015,2087,6,Região VI,0,0,0,0,2,2024,1,Ação Físico,2024,1
146,4738,15015,1015,2087,7,Região VII,0,0,0,0,4,2024,1,Ação Físico,2024,1
147,4738,15015,1015,2087,8,Região VIII,0,0,0,0,1,2024,1,Ação Físico,2024,1
148,4738,15015,1015,2087,9,Região IX,0,0,0,0,1,2024,1,Ação Físico,2024,1
149,4738,15015,1015,2087,10,Região X,0,0,0,0,1,2024,1,Ação Físico,2024,1
150,4739,14023,1000,2096,1,Região I,36,36,0,0,158,2024,1,Ação Físico,2024,1
151,4739,14023,1000,2096,2,Região II,0,0,0,0,2,2024,1,Ação Físico,2024,1
152,4739,14023,1000,2096,4,Região IV,0,0,0,0,0,2024,1,Ação Físico,2024,1
153,4739,14023,1000,2096,5,Região V,0,0,0,0,8,2024,1,Ação Físico,2024,1
154,4739,14023,1000,2096,6,Região VI,,,,,5,2024,1,Ação Físico,2024,1
155,4739,14023,1000,2096,7,Região VII,1,1,0,0,3,2024,1,Ação Físico,2024,1
156,4739,14023,1000,2096,8,Região VIII,1,1,0,0,2,2024,1,Ação Físico,2024,1
157,4739,14023,1000,2096,10,Região X,0,0,0,0,2,2024,1,Ação Físico,2024,1
158,4740,14023,1000,2502,1,Região I,150,150,0,0,207,2024,1,Ação Físico,2024,1
159,4740,14023,1000,2502,2,Região II,0,0,0,0,1,2024,1,Ação Físico,2024,1
160,4740,14023,1000,2502,4,Região IV,0,0,0,0,4,2024,1,Ação Físico,2024,1
161,4740,14023,1000,2502,5,Região V,0,0,0,0,3,2024,1,Ação Físico,2024,1
162,4740,14023,1000,2502,7,Região VII,0,0,0,0,2,2024,1,Ação Físico,2024,1
163,4740,14023,1000,2502,8,Região VIII,0,0,0,0,3,2024,1,Ação Físico,2024,1
164,4740,14023,1000,2502,10,Região X,0,0,0,0,3,2024,1,Ação Físico,2024,1
165,4741,14023,1000,2503,1,Região I,0,0,0,0,2,2024,1,Ação Físico,2024,1
166,4741,14023,1000,2503,5,Região V,0,0,0,0,2,2024,1,Ação Físico,2024,1
167,4741,14023,1000,2503,7,Região VII,2,2,0,0,2,2024,1,Ação Físico,2024,1
168,4742,14023,1000,2459,1,Região I,0,0,0,0,1,2024,1,Ação Físico,2024,1
169,4746,19023,2096,4234,1,Região I,80,80,0,0,79,2024,1,Ação Físico,2024,1
170,4746,19023,2096,4234,2,Região II,35,35,0,0,35,2024,1,Ação Físico,2024,1
171,4746,19023,2096,4234,3,Região III,34,34,0,0,32,2024,1,Ação Físico,2024,1
172,4746,19023,2096,4234,4,Região IV,24,24,0,0,20,2024,1,Ação Físico,2024,1
173,4746,19023,2096,4234,5,Região V,48,48,0,0,43,2024,1,Ação Físico,2024,1
174,4746,19023,2096,4234,6,Região VI,47,47,0,0,43,2024,1,Ação Físico,2024,1
175,4746,19023,2096,4234,7,Região VII,82,82,0,0,83,2024,1,Ação Físico,2024,1
176,4746,19023,2096,4234,8,Região VIII,35,35,0,0,36,2024,1,Ação Físico,2024,1
177,4746,19023,2096,4234,9,Região IX,17,17,0,0,18,2024,1,Ação Físico,2024,1
178,4746,19023,2096,4234,10,Região X,15,15,0,0,16,2024,1,Ação Físico,2024,1
179,4747,19023,2096,4091,1,Região I,80,80,0,0,79,2024,1,Ação Físico,2024,1
180,4747,19023,2096,4091,2,Região II,35,35,0,0,35,2024,1,Ação Físico,2024,1
181,4747,19023,2096,4091,3,Região III,34,34,0,0,32,2024,1,Ação Físico,2024,1
182,4747,19023,2096,4091,4,Região IV,24,24,0,0,20,2024,1,Ação Físico,2024,1
183,4747,19023,2096,4091,5,Região V,48,48,0,0,43,2024,1,Ação Físico,2024,1
184,4747,19023,2096,4091,6,Região VI,47,47,0,0,43,2024,1,Ação Físico,2024,1
185,4747,19023,2096,4091,7,Região VII,82,82,0,0,83,2024,1,Ação Físico,2024,1
186,4747,19023,2096,4091,8,Região VIII,35,35,0,0,36,2024,1,Ação Físico,2024,1
187,4747,19023,2096,4091,9,Região IX,17,17,0,0,18,2024,1,Ação Físico,2024,1
